,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
24,8,"Sunday, February 10, 2019 - Soccer",SD Eibar,0,88%,-,-,-,-,+197,+225,-,-,-,+225,-,-,+206,+225,-,-,+204,+225,-,-,+192,+225,-,-,+195,+225,-,-,+200,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
25,8,"Sunday, February 10, 2019 - Soccer",Draw,0,0%,-,-,-,-,+144,-,-,-,-,-,-,-,+149,-,-,-,+148,-,-,-,+140,-,-,-,+140,-,-,-,+138,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
26,8,"Sunday, February 10, 2019 - Soccer",Athletic Bilbao,0,13%,-,-,-,-,+210,-,-,-,-,-,-,-,+237,-,-,-,+242,-,-,-,+222,-,-,-,+234,-,-,-,+225,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
27,9,"Sunday, February 10, 2019 - Soccer",FC Barcelona,0,0%,-,-,-,-,-113,-,-,-,+235,-,-,-,+233,-,-,-,+243,-,-,-,+226,-,-,-,+233,-,-,-,+235,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
28,9,"Sunday, February 10, 2019 - Soccer",Draw,0,100%,-,-,-,-,+357,-,-,-,-120,-,-,-,-116,-,-,-,-110,-,-,-,-,-,-,-,-113,-,-,-,-110,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
29,9,"Monday, February 11, 2019 - Soccer",Deportivo Alaves Sad,0,0%,-,-,-,-,+233,-,-,-,+285,-,-,-,+295,-,-,-,+373,-,-,-,-,-,-,-,+357,-,-,-,+375,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
30,10,"Monday, February 11, 2019 - Soccer",UD Levante,0,100%,+229,-,-,-,-116,-,-,-,+230,-,-,-,+240,-,-,-,+243,-,-,-,-,-,-,-,+233,-,-,-,+244,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
31,10,"Monday, February 11, 2019 - Soccer",Draw,0,0%,-104,-,-,-,+295,-,-,-,-118,-,-,-,-111,-,-,-,-110,-,-,-,-,-,-,-,-120,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
32,10,"Friday, February 08, 2019 - Soccer",Dijon FCO,0,0%,+225,-,-,-,+240,-,-,-,+340,-,-,-,+355,-,-,-,+373,-,-,-,-,-,-,-,+285,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
33,11,"Friday, February 08, 2019 - Soccer",Olympique Marseille,0,90%,-,-,-,-,+132,-,-,-,+220,-,-,-,+235,-,-,-,+243,-,-,-,-,-,-,-,+230,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
34,11,"Friday, February 08, 2019 - Soccer",Draw,0,0%,-,-,-,-,+216,-,-,-,-,-,-,-,-108,-,-,-,-110,-,-,-,-116,-,-,-,-119,-,-,-,-110,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
35,11,"Saturday, February 09, 2019 - Soccer",Paris Saint-Germain,0,10%,-,-,-,-,+231,-,-,-,-,-,-,-,+369,-,-,-,+373,-,-,-,+346,-,-,-,+360,-,-,-,+320,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
