,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm
30,15,"Sat Jan 26, 2019",Pittsburgh,0,52%,+475,-145,-,-,+152,-155,-102,-,+155,-155,-102,-,+160,-155,-102,-,+155,-155,-102,-,-,-155,-102,-,+145,-155,-102,-,-,-51.111111111111114,0.5134731278198567,0.4734731278198567,160,0.3846153846153846,1,0,1.6,-1,1,-1.6,0.2310301323316275,-0.2310301323316275,111.20522818360921,113.42933274728139
31,15,"Sat Jan 26, 2019",(23) Louisville,0,48%,-650,+125,-,-,-172,+135,-118,-,-175,+135,-118,-,-180,+135,-118,-,-175,+135,-118,-,-,+135,-118,-,-165,+135,-118,-,-,-35.55555555555556,0.5231067345566301,0.48310673455663017,135,0.425531914893617,1,0,1.35,-1,1,-1.35,0.13530082620808104,-0.13530082620808104,106.99359550798792,109.13346741814769
32,16,"Sat Jan 26, 2019",Kansas State,0,0%,-200,+475,-,-,-,+360,-,-,+155,+360,-,-,+163,+360,-,-,+155,+360,-,-,+155,+360,-,-,+145,+360,-,-,+155,274.0769230769231,0.29502151713337393,0.25502151713337395,475,0.17391304347826086,1,0,4.75,-1,1,-4.75,0.4663737235169002,-0.4663737235169002,292.1237749820965,297.9662504817384
33,16,"Sat Jan 26, 2019",Texas A&M,0,100%,+170,-650,-,-,-,-450,-,-,-175,-450,-,-,-173,-450,-,-,-175,-450,-,-,-185,-450,-,-,-165,-450,-,-,-175,-338.3076923076923,0.7377163411538175,0.6977163411538174,-165,0.6226415094339622,1,0,0.6060606060606061,-1,1,-0.6060606060606061,0.1205747297318886,-0.1205747297318886,-230.8151038719732,-226.28931752154236
34,17,"Sat Jan 26, 2019",Hofstra,0,6%,-575,-155,-,-,-220,-3000,-,-,+145,-3000,-,-,+150,-3000,-,-,+148,-3000,-,-,+145,-3000,-,-,+140,-3000,-,-,+145,-1250.142857142857,0.6818697870853411,0.641869787085341,150,0.4,1,0,1.5,-1,1,-1.5,0.6046744677133525,-0.6046744677133525,-179.22804721261986,-175.7137717770783
35,17,"Sat Jan 26, 2019",Towson,0,94%,+438,+135,-,-,+180,+1500,-,-,-165,+1500,-,-,-160,+1500,-,-,-168,+1500,-,-,-170,+1500,-,-,-160,+1500,-,-,-165,594.7857142857143,0.349301594496075,0.309301594496075,1500,0.0625,1,0,15.0,-1,1,-15.0,3.9488255119372004,-3.9488255119372004,223.3090348691008,227.7752155664828
36,18,"Sat Jan 26, 2019",(12) Marquette,0,100%,-145,+360,-,-,-,-280,-,-,-,-280,-,-,-200,-280,-,-,-,-280,-,-,-,-280,-,-,-200,-280,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
37,18,"Sat Jan 26, 2019",Xavier,0,0%,+125,-450,-,-,-,+240,-,-,-,+240,-,-,+170,+240,-,-,-,+240,-,-,-,+240,-,-,+170,+240,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
38,19,"Sat Jan 26, 2019",Drexel,0,6%,+170,-3000,-,-,-220,+280,-,-,-,+280,-,-,-220,+280,-,-,-,+280,-,-,-,+280,-,-,-,+280,-,-,-220,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
39,19,"Sat Jan 26, 2019",Delaware,0,94%,-200,+1500,-,-,+180,-340,-,-,-,-340,-,-,+180,-340,-,-,-,-340,-,-,-,-340,-,-,-,-340,-,-,+180,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
40,20,"Sat Jan 26, 2019",Duquesne,0,63%,+438,-280,-,-,-,+1000,-,-,+300,+1000,-,-,+295,+1000,-,-,+326,+1000,-,-,-,+1000,-,-,+320,+1000,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
41,20,"Sat Jan 26, 2019",Dartmouth,0,37%,-575,+240,-,-,-,-1500,-,-,-380,-1500,-,-,-390,-1500,-,-,-401,-1500,-,-,-,-1500,-,-,-400,-1500,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
42,21,"Sat Jan 26, 2019",Harvard,0,100%,-,+280,-,-,-,-280,-,-,+300,-280,-,-,+335,-280,-,-,+326,-280,-,-,+300,-280,-,-,+330,-280,-,-,+320,39.30769230769231,0.4707300573426718,0.43073005734267183,335,0.2298850574712644,1,0,3.35,-1,1,-3.35,0.8736757494406224,-0.8736757494406224,132.16396974229255,134.80724913713843
43,21,"Sat Jan 26, 2019",Ball State,0,0%,-,-340,-,-,-,+240,-,-,-380,+240,-,-,-375,+240,-,-,-401,+240,-,-,-380,+240,-,-,-420,+240,-,-,-400,-96.61538461538461,0.562948590916399,0.522948590916399,240,0.29411764705882354,1,0,2.4,-1,1,-2.4,0.7780252091157566,-0.7780252091157566,-109.62101378569763,-107.4715821428408
44,22,"Sat Jan 26, 2019",Ohio,0,48%,-118,-280,-,-,+317,+180,-,-,+240,+180,-,-,+255,+180,-,-,+250,+180,-,-,+240,+180,-,-,+240,+180,-,-,+235,184.07142857142858,0.34769801657285093,0.30769801657285095,317,0.23980815347721823,1,0,3.17,-1,1,-3.17,0.28310072910878836,-0.28310072910878836,224.993970106804,229.49384950894006
45,22,"Sat Jan 26, 2019",Eastern Michigan,0,52%,-102,+240,-,-,-400,-220,-,-,-300,-220,-,-,-280,-220,-,-,-300,-220,-,-,-300,-220,-,-,-280,-220,-,-,-290,-230.71428571428572,0.6918851143696345,0.6518851143696345,240,0.29411764705882354,1,0,2.4,-1,1,-2.4,1.216409388856757,-1.216409388856757,-187.26148788185333,-183.58969400181698
46,23,"Sat Jan 26, 2019",Western Michigan,0,0%,+145,+180,-,-,+305,-125,-,-,-700,-125,-,-,-700,-125,-,-,-700,-125,-,-,-700,-125,-,-,-700,-125,-,-,-700,-318.92857142857144,0.6562421264802217,0.6162421264802217,305,0.2469135802469136,1,0,3.05,-1,1,-3.05,1.4957806122448978,-1.4957806122448978,-160.5809727962393,-157.43232627082287
47,23,"Sat Jan 26, 2019",South Carolina,0,100%,-165,-220,-,-,-365,+105,-,-,+500,+105,-,-,+500,+105,-,-,+500,+105,-,-,+500,+105,-,-,+500,+105,-,-,+500,217.5,0.3856625360608445,0.3456625360608445,500,0.16666666666666666,1,0,5.0,-1,1,-5.0,1.073975216365067,-1.073975216365067,189.29950332366278,193.08549339013607
48,24,"Sat Jan 26, 2019",Oklahoma State,0,0%,+135,-125,-,-,+245,+100,-,-,-850,+100,-,-,-825,+100,-,-,-840,+100,-,-,-865,+100,-,-,-825,+100,-,-,-850,-309.64285714285717,0.6577612981632176,0.6177612981632176,245,0.2898550724637681,1,0,2.45,-1,1,-2.45,1.1312764786631009,-1.1312764786631009,-161.61662730505094,-158.4476738284813
49,24,"Sat Jan 26, 2019",Davidson,0,100%,-155,+105,-,-,-290,-120,-,-,+525,-120,-,-,+575,-120,-,-,+551,-120,-,-,+615,-120,-,-,+575,-120,-,-,+525,175.78571428571428,0.3867062972536727,0.34670629725367275,615,0.13986013986013984,1,0,6.15,-1,1,-6.15,1.4789500253637604,-1.4789500253637604,188.42856559606568,192.19713690798702
50,25,"Sat Jan 26, 2019",Saint Louis,0,55%,-,+100,-,-,-825,-155,-,-,-930,-155,-,-,-825,-155,-,-,-835,-155,-,-,-,-155,-,-,-850,-155,-,-,-1100,-476.53846153846155,0.7337082204451227,0.6937082204451227,100,0.5,1,0,1.0,-1,1,-1.0,0.3874164408902454,-0.3874164408902454,-226.48607202363172,-222.0451686506193
51,25,"Sat Jan 26, 2019",Army,0,45%,-,-120,-,-,+625,+135,-,-,+680,+135,-,-,+625,+135,-,-,+560,+135,-,-,-,+135,-,-,+588,+135,-,-,+440,323.6923076923077,0.30652018506896406,0.2665201850689641,680,0.12820512820512822,1,0,6.8,-1,1,-6.8,1.0788574435379197,-1.0788574435379197,275.2061029603602,280.7102250195675
