,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
27,9,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+158,+203,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,-8.5,0.5164,0.49639999999999995,203,0.33,1,0,0.5041,0.24832118226600977,101.45,2.0145,2.0347999999999997,0.019,0.0322,0.1191,1.9942,0.02,0.0349
28,9,"Thursday, February 14, 2019 - Soccer",Stade Rennes,0,0%,+155,+126,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,260.7857,0.2943,0.2743,345,0.2247,1,0,0.2206,0.06395217391304349,264.56,3.6456,3.6985,0.0074,0.0103,0.0323,3.5927,0.0078,0.0111
29,9,"Thursday, February 14, 2019 - Soccer",Real Betis Balompie,0,0%,+194,+185,-,-,+245,+207,-,-,+245,+207,-,-,+245,+207,-,-,+245,+207,-,-,+245,+207,-,-,+245,+207,-,-,+245,224.4286,0.3096,0.28959999999999997,245,0.2899,0,1,-0.0009,0.0,245.3,3.453,3.5021,0.0079,0.0112,0.0361,3.4039,0.0084,0.0122
30,10,"Thursday, February 14, 2019 - Soccer",Draw,0,61%,+125,+207,-,-,-175,+652,-,-,-190,+652,-,-,-178,+652,-,-,-185,+652,-,-,-191,+652,-,-,-178,+652,-,-,-190,202.2857,0.404,0.384,652,0.133,1,0,1.8877,0.289521472392638,160.42,2.6042,2.6363,0.0121,0.0187,0.0659,2.5721,0.0129,0.0207
31,10,"Thursday, February 14, 2019 - Soccer",Draw,0,32%,+186,+652,-,-,+491,-315,-,-,+475,-315,-,-,+503,-315,-,-,+451,-315,-,-,+473,-315,-,-,+503,-315,-,-,+475,152.3571,0.4209,0.4009,652,0.133,1,0,2.0148,0.3090134969325153,149.44,2.4944,2.5243,0.013,0.0203,0.0725,2.4645,0.0138,0.0226
32,10,"Thursday, February 14, 2019 - Soccer",Sevilla FC,0,7%,+206,-315,-,-,+316,+339,-,-,+305,+339,-,-,+293,+339,-,-,+309,+339,-,-,+294,+339,-,-,+293,+339,-,-,+305,273.8571,0.2762,0.2562,339,0.2278,1,0,0.1247,0.03678997050147492,290.32,3.9032,3.9613,0.0067,0.0092,0.0281,3.8451,0.0071,0.0099
33,11,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+476,+339,-,-,-177,+225,-,-,-185,+225,-,-,-172,+225,-,-,-182,+225,-,-,-,+225,-,-,-178,+225,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
34,11,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,-228,+225,-,-,+480,+106,-,-,+420,+106,-,-,+400,+106,-,-,+475,+106,-,-,-,+106,-,-,+503,+106,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
35,11,"Thursday, February 14, 2019 - Soccer",Arsenal FC,0,0%,+298,+106,-,-,+304,+207,-,-,+255,+207,-,-,+245,+207,-,-,+285,+207,-,-,-,+207,-,-,+293,+207,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
36,12,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+207,+207,-,-,-178,+277,-,-,-189,+277,-,-,-,+277,-,-,-182,+277,-,-,-,+277,-,-,-185,+277,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
37,12,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,+106,+277,-,-,+503,-132,-,-,+475,-132,-,-,-,-132,-,-,+475,-132,-,-,-,-132,-,-,+420,-132,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
38,12,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,+224,-132,-,-,+293,+250,-,-,+275,+250,-,-,-,+250,-,-,+285,+250,-,-,-,+250,-,-,+255,+250,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
39,13,"Thursday, February 14, 2019 - Soccer",Chelsea FC,0,100%,+536,+250,-,-,-182,-,-,-,-175,-,-,-,-177,-,-,-,-182,-,-,-,-192,-,-,-,-182,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
40,13,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,-254,-,-,-,+420,-,-,-,+500,-,-,-,+480,-,-,-,+475,-,-,-,+468,-,-,-,+483,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
41,13,"Thursday, February 14, 2019 - Soccer",SSC Napoli,0,0%,+308,-,-,-,+255,-,-,-,+300,-,-,-,+304,-,-,-,+285,-,-,-,+273,-,-,-,+311,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
42,14,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+118,-,-,-,-357,-,-,-,-345,-,-,-,-356,-,-,-,-400,-,-,-,-385,-,-,-,-215,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
43,14,"Thursday, February 14, 2019 - Soccer",Eintracht Frankfurt,0,0%,+194,-,-,-,+560,-,-,-,+950,-,-,-,+793,-,-,-,+875,-,-,-,+800,-,-,-,+602,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
44,14,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,+212,-,-,-,+440,-,-,-,+450,-,-,-,+466,-,-,-,+425,-,-,-,+407,-,-,-,+326,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
45,15,"Thursday, February 14, 2019 - Soccer",Valencia CF,0,0%,+114,-,-,-,-283,-,-,-,-283,-,-,-,-283,-,-,-,-283,-,-,-,-283,-,-,-,-283,-,-,-,-283,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
46,15,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+202,-,-,-,+607,-,-,-,+607,-,-,-,+607,-,-,-,+607,-,-,-,+607,-,-,-,+607,-,-,-,+607,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
47,15,"Thursday, February 14, 2019 - Soccer",Villarreal CF,0,0%,+211,-,-,-,+317,-,-,-,+317,-,-,-,+317,-,-,-,+317,-,-,-,+317,-,-,-,+317,-,-,-,+317,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
48,16,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,-951,-,-,-,-282,-,-,-,-265,-,-,-,-285,-,-,-,-296,-,-,-,-277,-,-,-,-285,-,-,-,-265,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
49,16,"Friday, February 15, 2019 - Soccer",Juventus Turin,0,0%,+1235,-,-,-,+742,-,-,-,+750,-,-,-,+702,-,-,-,+745,-,-,-,+721,-,-,-,+702,-,-,-,+750,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
50,16,"Friday, February 15, 2019 - Soccer",Frosinone Calcio,0,0%,+613,-,-,-,+354,-,-,-,+345,-,-,-,+341,-,-,-,+359,-,-,-,+347,-,-,-,+341,-,-,-,+345,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
51,17,"Friday, February 15, 2019 - Soccer",Draw,0,100%,-,-,-,-,-274,-,-,-,-256,-,-,-,-270,-,-,-,-250,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
