,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
38,19,"Tue Feb 05, 2019",Vanderbilt,0,0%,+325,-,-,-,+215,-,-,-,+230,-,-,-,+240,-,-,-,-,-,-,-,+230,-,-,-,+245,-,-,-,+220,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
39,19,"Tue Feb 05, 2019",Arkansas,0,100%,-400,-,-,-,-255,-,-,-,-280,-,-,-,-260,-,-,-,-,-,-,-,-280,-,-,-,-290,-,-,-,-270,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
40,20,"Tue Feb 05, 2019",Florida,0,0%,+360,-,-,-,-475,-,-,-,-525,-,-,-,-475,-,-,-,-,-,-,-,-,-,-,-,-500,-,-,-,-500,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
41,20,"Tue Feb 05, 2019",Auburn,0,100%,-450,-,-,-,+400,-,-,-,+415,-,-,-,+420,-,-,-,-,-,-,-,-,-,-,-,+400,-,-,-,+375,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
42,21,"Tue Feb 05, 2019",Utah State,0,33%,-120,-,-,-,+122,-,-,-,+125,-,-,-,+130,-,-,-,-,-,-,-,+120,-,-,-,+115,-,-,-,+120,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
43,21,"Tue Feb 05, 2019",Fresno State,0,67%,+100,-,-,-,-142,-,-,-,-145,-,-,-,-140,-,-,-,-,-,-,-,-140,-,-,-,-135,-,-,-,-140,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
44,22,"Tue Feb 05, 2019",San Diego State,0,-,-135,-,-,-,+445,-,-,-,+500,-,-,-,+480,-,-,-,-,-,-,-,+450,-,-,-,+450,-,-,-,+450,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
45,22,"Tue Feb 05, 2019",New Mexico,0,-,+115,-,-,-,-550,-,-,-,-650,-,-,-,-570,-,-,-,-,-,-,-,-600,-,-,-,-600,-,-,-,-600,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
46,23,"Wednesday, February 06, 2019",Lipscomb,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
47,23,"Wednesday, February 06, 2019",North Florida,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
