,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
30,15,"Wed Jan 30, 2019",Radford,0,50%,-,+280,-,+175,+170,+280,-,+170,+170,+280,-,-,+175,+280,-,+170,-,+280,+170,-,+170,+280,-,-,+175,+280,-,-,+170,216.1764705882353,0.32503570274468113,0.28503570274468115,280,0.2631578947368421,1,0,2.8,-1,1,-2.8,0.08313567042978831,-0.08313567042978831,250.83324312384244,2.5083324312384243,3.558499079863193,0.01094540201403401,0.016100384063994947,3.458165782613656,0.02855107108234034,0.04280285621957447
31,15,"Wed Jan 30, 2019",High Point,0,50%,-,-340,-,-210,-195,-340,-,-200,-200,-340,-,-,-190,-340,-,-200,-,-340,-200,-,-200,-340,-,-,-210,-340,-,-,-200,-257.94117647058823,0.710595234218469,0.670595234218469,-190,0.6551724137931034,1,0,0.5263157894736842,-1,1,-0.5263157894736842,0.023540094333452666,-0.023540094333452666,-203.57787861005738,0.4912125064017623,1.5010367565297975,0.07280432122023911,0.12253430083493784,1.481388256273727,0.04011785702655407,0.0736476187374775
33,16,"Wed Jan 30, 2019",Army,0,52%,-,-340,-,+115,-103,-340,-,+115,+105,-340,-,+115,+103,-340,-,+115,-,-340,-,+115,+100,-340,-,+115,-105,-340,-,+115,-105,-79.0,0.5838549992265252,0.5438549992265251,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.16928824833702905,-0.16928824833702905,-119.22853441434684,0.8387253981708505,1.8554999061342676,0.04010563637917261,0.06646614984512392,1.8219508902074333,0.03631564997679587,0.06350839993812207
34,17,"Wed Jan 30, 2019",Colgate,0,100%,-,+550,-,+315,+151,+550,-,+315,+150,+550,-,+315,+150,+550,-,+315,-,+550,-,+315,-,+550,-,+315,+150,+550,-,+315,-,369.77777777777777,0.24233757996538202,0.20233757996538201,550,0.15384615384615385,1,0,5.5,-1,1,-5.5,0.3151942697749831,-0.3151942697749831,394.223564486187,3.94223564486187,5.021080357759107,0.006403736872762567,0.00878095141462072,4.8633909319646325,0.026070127398961418,0.0361870063972306
36,18,"Wed Jan 30, 2019",Hartford,0,95%,-,-125,+175,-,+152,-125,+175,-,+150,-125,+175,-,+155,-125,+175,-,-,-125,+175,-,+150,-125,+175,-,+150,-125,+175,-,+150,62.85,0.44116628469569646,0.4011662846956965,175,0.36363636363636365,1,0,1.75,-1,1,-1.75,0.10320728291316539,-0.10320728291316539,149.27319123005242,1.4927319123005243,2.522586550546535,0.020370890574981485,0.032105099575803445,2.462877274054514,0.032034988540870835,0.0520933027756556
37,18,"Wed Jan 30, 2019",American University,0,5%,-,+105,-210,-,-172,+105,-210,-,-170,+105,-210,-,-165,+105,-210,-,-,+105,-210,-,-180,+105,-210,-,-170,+105,-210,-,-170,-88.1,0.597165505628445,0.5571655056284449,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.1421892865383121,-0.1421892865383121,-125.81800033873643,0.7947988342746879,1.8106948109601817,0.04265735624442135,0.07090546654393852,1.7789028575891943,0.03671496516885331,0.06457324045027552
38,19,"Wed Jan 30, 2019",Loyola (MD),0,50%,-,-240,-,-,-,-240,-,-,-,-240,-,-,+115,-240,-,-,-,-240,-,-,-,-240,-,-,+115,-240,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,0.038461538461538464,1.0377073906485672,-11.89760963026654,-7.5922453450164245,1.0392464678178963,1.0395698587127158,1.0375698587127158
39,19,"Wed Jan 30, 2019",Albany,0,50%,-,+200,-,-,-,+200,-,-,-,+200,-,-,-135,+200,-,-,-,+200,-,-,-,+200,-,-,-135,+200,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,0.038461538461538464,1.0377073906485672,-11.89760963026654,-7.5922453450164245,1.0392464678178963,1.0395698587127158,1.0375698587127158
40,20,"Wed Jan 30, 2019",New Hampshire,0,0%,-,+800,-,-,-,+800,-,-,-,+800,-,-,+115,+800,-,-,-,+800,-,-,+115,+800,-,-,-,+800,-,-,+115,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,0.038461538461538464,1.0377073906485672,-11.89760963026654,-7.5922453450164245,1.0392464678178963,1.0395698587127158,1.0375698587127158
41,20,"Wed Jan 30, 2019",Stetson,0,100%,-,-1250,-,-,-,-1250,-,-,-,-1250,-,-,-135,-1250,-,-,-,-1250,-,-,-135,-1250,-,-,-,-1250,-,-,-135,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,0.038461538461538464,1.0377073906485672,-11.89760963026654,-7.5922453450164245,1.0392464678178963,1.0395698587127158,1.0375698587127158
42,21,"Wed Jan 30, 2019",Jacksonville,0,0%,-,+885,-,-,-,+885,-,-,-,+885,-,-,+270,+885,-,-,-,+885,-,-,-,+885,-,-,+285,+885,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,0.038461538461538464,1.0377073906485672,-11.89760963026654,-7.5922453450164245,1.0392464678178963,1.0395698587127158,1.0375698587127158
43,21,"Wed Jan 30, 2019",Maine,0,100%,-,-1350,-,-,-,-1350,-,-,-,-1350,-,-,-340,-1350,-,-,-,-1350,-,-,-,-1350,-,-,-355,-1350,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,0.038461538461538464,1.0377073906485672,-11.89760963026654,-7.5922453450164245,1.0392464678178963,1.0395698587127158,1.0375698587127158
