,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short
10,5,"Sun Jan 27, 2019",Washington,0,45%,+240,+173,+175,+176,+175,+170,+180,+170,+165,+184,+175,+170,+175,+169,+170,+170,+170,+170,-,-,+190,+176,+176,+180,+180,+170,+183,-,+170,174.48,0.36447868410125617,0.33447868410125614,190,0.3448275862068966,0,1,1.9,-1,1,-1.9,-0.03001181610635717,0.03001181610635717,198.97271411689474,1.9897271411689474,2.0295216839923262,1.9499325983455684
11,5,"Sun Jan 27, 2019",San Antonio,0,55%,-300,-193,-190,-210,-205,-200,-210,-200,-185,-220,-205,-200,-190,-198,-200,-200,-200,-200,-,-,-230,-210,-210,-210,-220,-200,-188,-,-200,-202.96,0.6695482712200175,0.6395482712200175,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.014749960552946084,0.014749960552946084,-177.4296584412815,0.5636036324394659,0.5748757050882553,0.5523315597906765
12,6,"Sun Jan 27, 2019",Utah,0,2%,-175,-178,-175,-180,-180,-180,-180,-190,-180,-215,-180,-185,-175,-184,-184,-182,-182,-185,-,-,-180,-180,-180,-180,-180,-180,-175,-,-185,-182.2,0.6454119880111004,0.6154119880111004,-175,0.6363636363636364,0,1,0.5714285714285714,-1,1,-0.5714285714285714,-0.032924018839699365,0.032924018839699365,-160.01850521249818,0.6249277223731342,0.6374262768205969,0.6124291679256715
13,6,"Sun Jan 27, 2019",Minnesota,0,98%,+145,+160,+165,+155,+160,+160,+155,+165,+160,+180,+160,+165,+165,+157,+159,+162,+162,+155,-,-,+150,+155,+155,+155,+160,+160,+168,-,+165,160.52,0.3840353092080654,0.35403530920806536,180,0.35714285714285715,0,1,1.8,-1,1,-1.8,-0.008701134217416917,0.008701134217416917,182.45770237914417,1.8245770237914416,1.8610685642672704,1.7880854833156128
14,7,"Sun Jan 27, 2019",Miami,0,64%,-230,-188,-190,-190,-205,-210,-200,-200,-200,-190,-205,-200,-190,-195,-200,-200,-200,-220,-,-,-210,-190,-190,-200,-200,-210,-185,-,-200,-198.72,0.6649855617188498,0.6349855617188498,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.021778999514204367,0.021778999514204367,-173.96176565206332,0.5748389574293443,0.5863357365779313,0.5633421782807574
15,7,"Sun Jan 27, 2019",New York,0,36%,+190,+169,+175,+163,+175,+175,+170,+170,+170,+163,+175,+170,+175,+166,+170,+170,+170,+170,-,-,+175,+163,+163,+170,+170,+175,+182,-,+170,170.56,0.3697095263062049,0.3397095263062049,182,0.35460992907801414,0,1,1.82,-1,1,-1.82,-0.042019135816502184,0.042019135816502184,194.36913673672706,1.9436913673672707,1.982565194714616,1.904817540019925
16,8,"Sun Jan 27, 2019",Phoenix,0,5%,+285,+263,+260,+252,+250,+255,+260,+245,+240,+252,+250,+250,+260,+259,+255,+255,+255,+260,-,-,+255,+252,+252,+260,+250,+255,+274,-,+250,254.76,0.2819740329303476,0.2519740329303476,274,0.267379679144385,0,1,2.74,-1,1,-2.74,-0.05761711684049997,0.05761711684049997,296.8662914866418,2.968662914866418,3.0280361731637466,2.909289656569089
17,8,"Sun Jan 27, 2019",L.A. Lakers,0,95%,-375,-298,-290,-310,-300,-310,-320,-290,-300,-310,-300,-300,-290,-312,-315,-315,-315,-335,-,-,-315,-310,-310,-320,-300,-310,-292,-,-310,-307.08,0.7541777773369884,0.7241777773369884,-290,0.7435897435897436,0,1,0.3448275862068966,-1,1,-0.3448275862068966,-0.026105747719222472,0.026105747719222472,-262.55236809608317,0.38087639705997317,0.38849392500117264,0.37325886911877365
18,9,"Monday, January 28, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
19,9,"Monday, January 28, 2019",Indiana,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
20,10,"Monday, January 28, 2019",New York,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
21,10,"Monday, January 28, 2019",Charlotte,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
22,11,"Monday, January 28, 2019",Brooklyn,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
23,11,"Monday, January 28, 2019",Boston,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
24,12,"Monday, January 28, 2019",Denver,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
25,12,"Monday, January 28, 2019",Memphis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
26,13,"Monday, January 28, 2019",Atlanta,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
27,13,"Monday, January 28, 2019",L.A. Clippers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477
